Building Name,Cleaned Name,Latitude,Longitude,Full Address
8980 Villa La Jolla,8980 VILLA LA JOLLA,32.8712271,-117.2341773,"8980 Villa La Jolla Dr, La Jolla, CA 92037, USA"
910 Sycamore Avenue,910 SYCAMORE AVENUE,33.1594578,-117.2198825,"910 Sycamore Ave, Vista, CA 92084, USA"
9305 Lightwave Avenue,9305 LIGHTWAVE AVENUE,32.8278833,-117.1298762,"9305 Lightwave Ave, San Diego, CA 92123, USA"
9310 Redwood Drive,9310 REDWOOD DRIVE,32.8694594,-117.2474837,"Coast Apartments, 9310 Redwood Dr, La Jolla, CA 92037, USA"
9321 Discovery Way,9321 DISCOVERY WAY,32.8697915,-117.2476076,"Coast Apartments, 9321 Discovery Way, La Jolla, CA 92037, USA"
9331 Discovery Way,9331 DISCOVERY WAY,32.87016630000001,-117.2476366,"Coast Apartments, 9331 Discovery Way, La Jolla, CA 92037, USA"
9333 Genesee Avenue,9333 GENESEE AVENUE,32.8756896,-117.213356,"9333 Genesee Ave, San Diego, CA 92121, USA"
9334 Redwood Drive,9334 REDWOOD DRIVE,32.8697039,-117.2469616,"Coast Apartments, 9334 Redwood Dr, La Jolla, CA 92037, USA"
9344 Redwood Drive,9344 REDWOOD DRIVE,32.8699518,-117.2468656,"Coast Apartments, 9344 Redwood Dr, La Jolla, CA 92037, USA"
9350 Redwood Drive,9350 REDWOOD DRIVE,32.8701447,-117.246857,"Coast Apartments, 9350 Redwood Dr, La Jolla, CA 92037, USA"
9350A Coast Apartments,9350A COAST APARTMENTS,32.8697562,-117.2474028,"La Jolla, CA 92037, USA"
9355 Discovery Way,9355 DISCOVERY WAY,32.870513,-117.2475636,"Coast Apartments, 9355 Discovery Way, La Jolla, CA 92037, USA"
9366 Redwood Drive,9366 REDWOOD DRIVE,32.8703335,-117.2467453,"Coast Apartments, 9366 Redwood Dr, La Jolla, CA 92037, USA"
9369 Discovery Way,9369 DISCOVERY WAY,32.8707985,-117.2473454,"Coast Apartments, 9369 Discovery Way, La Jolla, CA 92037, USA"
9383 Discovery Way,9383 DISCOVERY WAY,32.8710202,-117.2470523,"Coast Apartments, 9383 Discovery Way, La Jolla, CA 92037, USA"
9388 Redwood Drive,9388 REDWOOD DRIVE,32.8705441,-117.2467368,"Coast Apartments, 9388 Redwood Dr, La Jolla, CA 92037, USA"
9393 Discovery Way,9393 DISCOVERY WAY,32.8709163,-117.2465964,"Coast Apartments, 9393 Discovery Way, La Jolla, CA 92037, USA"
9435 Modular Offices,9435 MODULAR OFFICES,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
9520 Towne Centre Drive,9520 TOWNE CENTRE DRIVE,32.8802912,-117.2090924,"9520 Towne Centre Dr, San Diego, CA 92121, USA"
9560 Towne Center Drive,9560 TOWNE CENTER DRIVE,32.8820618,-117.2100571,"9560 Towne Centre Dr, San Diego, CA 92121, USA"
9909 Mira Mesa Boulevard,9909 MIRA MESA BOULEVARD,32.9158468,-117.1130073,"9909 Mira Mesa Blvd, San Diego, CA 92131, USA"
Activism,ACTIVISM,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Africa Hall,AFRICA HALL,32.886143,-117.2434803,"10002 Scholars Dr N, La Jolla, CA 92093, USA"
Alianza,ALIANZA,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Altman Clinical Translational Research Institute,ALTMAN CLINICAL TRANSLATIONAL RESEARCH INSTITUTE,32.8789781,-117.2269864,"9452 Medical Ctr Dr, La Jolla, CA 92037, USA"
Amphitheater Kiosk,AMPHITHEATER KIOSK,32.8790251,-117.2325604,"9484 Innovation Ln, La Jolla, CA 92093, USA"
Amphitheater North Restrooms,AMPHITHEATER NORTH RESTROOMS,32.879957,-117.233248,"9488 Innovation Ln, La Jolla, CA 92093, USA"
Amphitheater South Restrooms,AMPHITHEATER SOUTH RESTROOMS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Anne Ratner Children's Eye Center,ANNE RATNER CHILDREN'S EYE CENTER,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Anne Ratner Children's Eye Center Expansion,ANNE RATNER CHILDREN'S EYE CENTER EXPANSION,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Applied Physics and Mathematics,APPLIED PHYSICS AND MATHEMATICS,32.8795424,-117.2411535,"San Diego, CA 92161, USA"
Arbor Drive Parking,ARBOR DRIVE PARKING,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Arena,ARENA,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Argo Hall,ARGO HALL,32.8745162,-117.2416218,"9257 S Scholars Dr, La Jolla, CA 92093, USA"
Artesa,ARTESA,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Asante House East,ASANTE HOUSE EAST,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Asante House Meeting Rooms,ASANTE HOUSE MEETING ROOMS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Asante House West,ASANTE HOUSE WEST,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Asia Hall,ASIA HALL,32.8858003,-117.2434846,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Astilla,ASTILLA,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Athena Parking,ATHENA PARKING,32.8792952,-117.2217254,"Athena Parking Structure, Medical Ctr Dr, La Jolla, CA 92037, USA"
Atkinson Hall,ATKINSON HALL,32.8824069,-117.2348172,"Atkinson Hall, 9500 Gilman Dr, La Jolla, CA 92093, USA"
Atlantis Hall,ATLANTIS HALL,32.87385769999999,-117.2424379,"9211 S Scholars Dr, La Jolla, CA 92093, USA"
